Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Investments,Number of Lead Investments,Number of Portfolio Organizations,Primary Industry,Primary Industry URL,Industry Groups,Founders,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Number of Lead Investors,Number of Investors
JX,https://www.crunchbase.com/organization/jx-nippon-mining-metals-corporation,,"Industrial, Manufacturing, Mining, Sustainability","Tokyo, Tokyo, Japan",JX develops and mines non-ferrous metal resources.,"35,362",Asia-Pacific (APAC),Active,1905-01-01,year,2025-03-19,day,For Profit,https://www.jx-nmm.com,,,,1,1,,4,2,4,,,"Manufacturing, Natural Resources, Sustainability",,,10001+,,IPO,,,,,,,,,,,,,,,,,,,
KPN,https://www.crunchbase.com/organization/kpn,,"Internet, Mobile, Telecommunications, VoIP","Rotterdam, Zuid-Holland, The Netherlands",KPN is the leading Telecommunication and IT company in the Netherlands.,"35,598","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1989-01-01,year,1999-04-01,day,For Profit,http://www.kpn.com,4,,,,2,,2,1,2,,,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Mobile",Richard Ruiter,1,10001+,2,IPO,2025-02-10,800000000,EUR,824088944,Post-IPO Debt,,,,,,,,1300000000,EUR,1361092229,,,,
Aernnova Aerospace,https://www.crunchbase.com/organization/aernnova-aerospace,,"Aerospace, Automotive, Manufacturing, Mechanical Engineering","Álava, Asturias, Spain","Design and manufacturing of aerostructures and components such as wings, empennages and fuselage sections","39,575","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1993-01-01,year,,,For Profit,http://www.aernnova.com/en/,,,,,,,,,,,,"Manufacturing, Science and Engineering, Transportation",,,5001-10000,3,Private Equity,2018-01-01,,,,Private Equity,,,,Private Equity,900000000,EUR,1006465985,900000000,EUR,1006465985,"TowerBrook Capital Partners, CPP Investments, Springwater Capital, Conversion Ventures",Springwater Capital,1,4
Brazilian Aluminum Company (CBA),https://www.crunchbase.com/organization/brazilian-aluminum-company-cba,,"Industrial Manufacturing, Precious Metals","São Paulo, Sao Paulo, Brazil",Brazilian Aluminum Company (CBA) produces aluminum from start to finish that includes aluminum sheets and coils.,"44,884",Latin America,Active,1988-01-01,year,2021-07-16,day,For Profit,https://www.cba.com.br,,,,,,,,,,,,"Manufacturing, Natural Resources",,,101-250,1,M&A,2025-08-10,87217000,EUR,101587461,Post-IPO Debt,,,,,,,,87217000,EUR,101587461,"BNP Paribas, Citibank","BNP Paribas, Citibank",2,2
BCE (Bell Canada Enterprises),https://www.crunchbase.com/organization/bell-canada,,"Information and Communications Technology (ICT), Internet, Mobile, Telecommunications, Wireless","Toronto, Ontario, Canada",BCE is a communications company that provides a comprehensive suite of broadband communications and content.,"45,667",Great Lakes,Active,1880-01-01,year,1988-01-04,day,For Profit,http://www.bce.ca,6,,,1,3,,3,1,3,,,"Hardware, Information Technology, Internet Services, Mobile",,,10001+,6,IPO,2025-08-11,2000000000,CAD,1451769671,Post-IPO Debt,1000000000,USD,1000000000,Post-IPO Equity,1000000000,USD,1000000000,6896896834,USD,6896896834,Natural Resources Canada,Natural Resources Canada,1,1
Nanshan Aluminum,https://www.crunchbase.com/organization/nanshan-aluminum,,"Industrial Automation, Industrial Manufacturing, Manufacturing","Longkou, Shandong, China","Nanshan Aluminum specializes in melting and casting plants, mold plants, and construction profile plants.","48,963",Asia-Pacific (APAC),Active,1992-01-01,year,2025-03-25,day,For Profit,http://www.nanshanalu.com/,,,,,,,,,,,,"Manufacturing, Science and Engineering",,,,,IPO,,,,,,,,,,,,,,,,,,,
Fab'entech,https://www.crunchbase.com/organization/fabentech,,"Health Care, Medical, Public Safety","Lyon, Rhone-Alpes, France",Fab'entech is committed to public health.,"52,273","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2009-01-01,year,,,For Profit,http://www.fabentech.com/,,,,,,,,,,,,"Government and Military, Health Care",Bertrand Lepine,1,11-50,4,Late Stage Venture,2024-10-07,20000000,EUR,21948596,Debt Financing,8500000,EUR,9403549,Series C,13500000,EUR,16205992,41200000,EUR,46503707,"European Investment Bank, Bpifrance, Elaia, Horizon Europe, Auriga Partners","European Investment Bank, Horizon Europe",2,7
UMC,https://www.crunchbase.com/organization/united-microelectronics,,"Electronics, Manufacturing, Semiconductor","Hsinchu, T'ai-wan, Taiwan",UMC is a semiconductor foundry company.,"54,928",Asia-Pacific (APAC),Active,1980-01-01,year,2000-09-19,day,For Profit,http://www.umc.com,,,,,,,7,1,7,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering",Robert Tsao,1,10001+,1,IPO,2025-11-26,4800000000,TWD,153531709,Post-IPO Debt,,,,,,,,4800000000,TWD,153531709,,,,
Jiaxin International Resources,https://www.crunchbase.com/organization/jiaxin-international-resources,,"Industrial, Mining","Wan Chai, Hong Kong Island, Hong Kong",Jiaxin International Resources is a mining company that operates in the tungsten metal mineral resources industry.,"55,059",Asia-Pacific (APAC),Active,2014-08-01,month,2025-08-28,day,For Profit,https://en.jiaxinir.com/,,,,,,,,,,,,"Manufacturing, Natural Resources",,,,,IPO,,,,,,,,,,,,,,,,,,,
Airbus Defence & Space,https://www.crunchbase.com/organization/airbus-defense-space,,"Aerospace, Cyber Security, Manufacturing, Military, National Security, Satellite Communication, Security, Space Travel, Telecommunications, Transportation","Houston, Texas, United States",Airbus Defence & Space develops and engineers products in the fields of defense and space.,"56,880","Greater Houston Area, Southern US",Active,2003-01-01,year,,,For Profit,https://www.airbus.com/defence.html,1,,,,,,2,1,2,,,"Government and Military, Hardware, Information Technology, Manufacturing, Privacy and Security, Science and Engineering, Transportation",,,10001+,1,,2023-11-22,3900000,GBP,4870769,Grant,,,,,,,,3900000,GBP,4870769,UK Space Agency,UK Space Agency,1,1
Eramet Group,https://www.crunchbase.com/organization/eramet-sa,,"Manufacturing, Mining","Paris, Ile-de-France, France",Eramet is a French multinational mining and metallurgy company.,"63,813","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1880-01-01,year,1999-04-01,day,For Profit,http://www.eramet.com/,1,,,,,,,,,,,"Manufacturing, Natural Resources",,,10001+,2,IPO,2024-05-23,500000000,EUR,540586710,Post-IPO Debt,,,,,,,,580000000,EUR,625897294,Bpifrance,Bpifrance,1,1
Skyld,https://www.crunchbase.com/organization/skyld,,"Computer, Network Security","Rennes, Bretagne, France",Skyld create AI-powered security solutions,"70,441","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2023-01-01,year,,,,https://www.skyld.io,,,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Privacy and Security",,,1-10,2,Seed,2025-10-01,1500000,EUR,1759940,Seed,1500000,EUR,1759940,Seed,1500000,EUR,1759940,1500000,EUR,1759940,"SkyDeck Berkeley, Cariplo Factory, Lendlease, BNP Paribas Développement, Auriga Cyber Ventures","Auriga Cyber Ventures, Bloomhaus Ventures",2,7
ANOZR WAY,https://www.crunchbase.com/organization/anozr-way,,"Cyber Security, Software","Cesson-sévigné, Bretagne, France","ANOZR WAY Protect the company's strategic assets from cyber-attacks exploiting human vulnerabilities, continuously anticipate attacks, etc.","75,457","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2019-01-01,year,,,For Profit,https://www.anozrway.com,,,,,,,,,,,,"Information Technology, Privacy and Security, Software",,,11-50,2,Early Stage Venture,2024-03-12,6000000,EUR,6555944,Series A,6000000,EUR,6555944,Series A,8000000,EUR,8965684,8000000,EUR,8965684,"Bpifrance, Hi Inov - Dentressangle, BNP Paribas Développement, Breizh Up","BNP Paribas Développement, Bpifrance, Breizh Up, Hi Inov - Dentressangle",4,4
Belss,https://www.crunchbase.com/organization/belss,,"Drones, Logistics, Military","Latina, Lazio, Italy",Belss is a defense communication firm that offers wide range of engineering telecommunications solutions and services beside other services.,"84,405","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1994-01-01,year,,,For Profit,https://www.belss.lv/en/,,,,,,,,,,,,"Consumer Electronics, Consumer Goods, Government and Military, Hardware, Information Technology, Transportation",,,11-50,1,,2025-09-18,7000000,EUR,8252216,Debt Financing,,,,,,,,7000000,EUR,8252216,Luminor Bank,Luminor Bank,1,1
Romarm,https://www.crunchbase.com/organization/romarm,,"Manufacturing, Military, Wholesale","Bucharest, Bucuresti, Romania","Romarm manufactures and exports military products, including firearms, ammunition, and armored vehicles.","85,549","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2000-01-01,year,,,For Profit,https://romarm.ro,,,,,,,,,,,,"Commerce and Shopping, Government and Military, Information Technology, Manufacturing",,,1001-5000,1,,2024-09-25,220000000,USD,220000000,Debt Financing,,,,,,,,220000000,USD,220000000,Defense Security Cooperation Agency,Defense Security Cooperation Agency,1,1
Nucor Corporation,https://www.crunchbase.com/organization/nucor-corporation,,"Industrial, Industrial Manufacturing, Machinery Manufacturing, Manufacturing, Mining, Recycling","Charlotte, North Carolina, United States",Nucor Corporation steel production company that provides a diverse range of steel and steel products.,"89,328","East Coast, Southern US",Active,1940-01-01,year,1978-01-13,day,For Profit,http://www.nucor.com,8,,,1,1,2,5,2,3,,,"Manufacturing, Natural Resources, Sustainability",Ken Iverson,1,10001+,1,IPO,2024-11-14,400000,USD,400000,Grant,,,,,,,,400000,USD,400000,US Department of Energy,US Department of Energy,1,1
Fortescue Zero,https://www.crunchbase.com/organization/fortescue-zero,,"Battery, Consulting, Energy","Kidlington, Oxfordshire, United Kingdom",Fortescue Zero delivers technology and engineering services for zero-emission and green energy solutions in industrial sectors.,"92,605","Europe, Middle East, and Africa (EMEA)",Active,,,,,For Profit,https://fortescuezero.com,,,,,,,,,,,,"Energy, Professional Services",,,1001-5000,,,,,,,,,,,,,,,,,,,,,
AES Embedded Solutions,https://www.crunchbase.com/organization/aes-embedded-solutions,,Hardware,"Yoqne`am `illit, HaZafon, Israel",AES Embedded Solutions is committed to lowering the complexity associated with creating and deploying IoT applications.,"100,622","Europe, Middle East, and Africa (EMEA), Middle East, Middle East and North Africa (MENA)",Active,2012-01-01,year,,,For Profit,https://www.aes-connect.com,,,,,,,,,,,,Hardware,,,101-250,2,,2024-07-29,6550000,USD,6550000,Grant,,,,,,,,6550000,USD,6550000,BIRD Foundation,BIRD Foundation,1,1
Honeywell,https://www.crunchbase.com/organization/honeywell,,"Aerospace, Electronics, Information Technology, Innovation Management, Manufacturing, Service Industry","Charlotte, North Carolina, United States","Honeywell is a technology and manufacturing company that produces products for the automation, aviation, and energy transition industries.","101,279","East Coast, Southern US",Active,1906-01-01,year,1985-09-27,day,For Profit,http://www.honeywell.com,16,,,3,5,1,22,8,18,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Other, Professional Services, Science and Engineering",Mark C. Honeywell,1,10001+,1,IPO,2009-10-27,11400000,USD,11400000,Grant,,,,,,,,11400000,USD,11400000,US Department of Energy,,,1
Telia,https://www.crunchbase.com/organization/telia-08f5,,"Consulting, Information Services, Software, Web Development","Athens, Attiki, Greece",Telia develops web content management products and applications.,"106,672","European Union (EU), Europe, Middle East, and Africa (EMEA)",Closed,2008-01-01,year,,,For Profit,https://telia.co.gr,,,,,,,,,,,,"Information Technology, Professional Services, Software",,,11-50,,,,,,,,,,,,,,,,,,,,,
Patricomp Oy,https://www.crunchbase.com/organization/patricomp-oy,,"Aerospace, Manufacturing","Jämsä, Western Finland, Finland",Patricomp Oy operates as an aerospace company servicing both the civil and military aircraft industries.,"113,541","European Union (EU), Nordic Countries, Scandinavia",Active,2006-01-01,year,2015-08-17,day,For Profit,https://www.patriagroup.com/,,,,,,,,,,,,"Manufacturing, Science and Engineering",,,1001-5000,,M&A,,,,,,,,,,,,,,,,,,,
AMG Advanced Metallurgical Group,https://www.crunchbase.com/organization/amg-advanced-metallurgical-group,,"Automotive, Manufacturing, Mining, Precious Metals","Amsterdam, Noord-Holland, The Netherlands","AMG Advanced Metallurgical Group is produces specialty metals, mineral products and related vacuum furnace systems. ","132,100","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2006-01-01,year,2007-07-11,day,For Profit,https://amg-nv.com,,,,1,1,,1,1,1,,,"Manufacturing, Natural Resources, Transportation",Heinz C. Schimmelbusch,1,1001-5000,1,IPO,2024-04-15,100000000,USD,100000000,Post-IPO Debt,,,,,,,,100000000,USD,100000000,,,,
ETME LTD,https://www.crunchbase.com/organization/etme-ltd,,"Environmental Engineering, Industrial, Water","Athens, Attiki, Greece","ETME specialists in hydro, enviromental infrastructures, and innovations.","133,482","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2004-01-01,year,,,For Profit,http://www.etme.gr/,,,,,,,,,,,,"Manufacturing, Natural Resources, Science and Engineering, Sustainability",,,1-10,2,,2017-12-01,2048568,EUR,2436361,Grant,,,,,,,,2098568,EUR,2490995,EISMEA,EISMEA,1,1
Vegvisir,https://www.crunchbase.com/organization/vegvisir,,"Manufacturing, Sporting Goods, Wholesale","Tallinn, Harjumaa, Estonia",Vegvisir offers a 360-degree situational awareness system using XR tech for manned vehicles in defense and security sectors.,"138,132","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2021-01-01,month,,,For Profit,https://vegvisir.ee,,,,,,,,,,,,"Commerce and Shopping, Manufacturing, Sports","Ingvar Pärnamäe, Kaido Petter, Raido Saremat",3,11-50,1,,2025-05-28,65000,EUR,72985,Grant,,,,,,,,65000,EUR,72985,EUDIS Business Accelerator,EUDIS Business Accelerator,1,1
VIRO,https://www.crunchbase.com/organization/viro,,"Information Services, Information Technology, Service Industry","Osnabrück, Niedersachsen, Germany",VIRO is a progressive engineering firm.,"141,245","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1996-01-01,year,,,For Profit,https://careers.viro-group.com/nl/,,,,,,,,,,,,"Information Technology, Other","Johannes Paul Visser, Mr. Roerink",2,51-100,1,Seed,2021-03-01,110000,USD,110000,Seed,110000,USD,110000,Seed,110000,USD,110000,110000,USD,110000,Starta VC,,,1
Exail,https://www.crunchbase.com/organization/exail,,"Manufacturing, Navigation, Robotics, Simulation","Saint-germain-en-laye, Ile-de-France, France","Exail is a technology company specializing in robotics, maritime, navigation, aerospace, and photonics technologies.","148,521","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1998-01-01,year,,,For Profit,https://www.exail.com,,,,,,,,,,,,"Hardware, Manufacturing, Navigation and Mapping, Science and Engineering, Software",,,1001-5000,,,,,,,,,,,,,,,,,,,,,
CDW Corporation,https://www.crunchbase.com/organization/cdw-corporation,,"Analytics, Artificial Intelligence (AI), Cyber Security, Graphic Design, Hardware, Information Technology, Software","Vernon Hills, Illinois, United States","CDW is a provider of IT solutions for business, government, education, and healthcare.","151,950","Greater Chicago Area, Great Lakes, Midwestern US",Active,1984-12-01,day,2013-06-27,day,For Profit,http://cdw.com,1,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Hardware, Information Technology, Privacy and Security, Science and Engineering, Software",Michael Krasny,1,10001+,2,IPO,2015-08-01,58738637,USD,58738637,Post-IPO Equity,58738637,USD,58738637,Post-IPO Equity,58738637,USD,58738637,58738637,USD,58738637,HarbourVest Partners,,,1
Swedish Space Corporation,https://www.crunchbase.com/organization/ssc-space-u-s-formerly-universal-space-network,,"Automotive, Government, Logistics, Telecommunications, Transportation","Solna, Stockholms Lan, Sweden",Swedish Space Corporation is a global supplier of advanced space services.,"158,329","European Union (EU), Nordic Countries, Scandinavia",Active,1972-01-01,year,,,For Profit,http://sscspace.com,,,,,,,,,,,,"Government and Military, Hardware, Transportation",,,501-1000,,,,,,,,,,,,,,,,,,,,,
GMV,https://www.crunchbase.com/organization/gmv,,"Financial Services, Information Technology, National Security, Security, Telecommunications, Transportation","Madrid, Madrid, Spain",Technological enterprise private equity,"159,197","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1984-01-01,year,,,For Profit,https://www.gmv.com/en-es,,,,,,,2,,2,,,"Financial Services, Government and Military, Hardware, Information Technology, Privacy and Security, Transportation",Juan José Martínez García,1,1001-5000,,,,,,,,,,,,,,,,,,,,,
ROVI Pharmaceutical Laboratories,https://www.crunchbase.com/organization/laboratorios-farmaceuticos-rovi,,"Biopharma, Biotechnology, Chemical, Manufacturing, Pharmaceutical","Pozuelo De Alarcón, Madrid, Spain","ROVI Pharmaceutical Laboratories is a pharmaceutical company that researches, develops, manufactures, and markets molecules and biologicals.","161,348","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1946-01-01,year,2007-12-05,day,For Profit,http://www.rovi.es,,,,,,,,,,,,"Biotechnology, Health Care, Manufacturing, Science and Engineering",,,1001-5000,1,IPO,2025-05-09,36300000,EUR,40839287,Grant,,,,,,,,36300000,EUR,40839287,Centre for the Development of Industrial Technology (CDTI),Centre for the Development of Industrial Technology (CDTI),1,1
Meta for Developers,https://www.crunchbase.com/organization/facebook-for-developers,,"Business Development, Content, Internet, Machine Learning, Management Information Systems","Menlo Park, California, United States","Meta for Developers develops content and business tools, AI, AR and VR.","162,458","San Francisco Bay Area, Silicon Valley, West Coast",Active,2004-01-01,year,,,For Profit,https://developers.meta.com/,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Professional Services, Software",,,11-50,,,,,,,,,,,,,,,,,,,,,
Arafura Resources,https://www.crunchbase.com/organization/arafura-resources,,Association,"Perth, Western Australia, Australia",Arafura Resources is an Australian company with a world class rare earths resource in the Northern Territory of Australia.,"163,239","Asia-Pacific (APAC), Australasia",Active,2003-01-01,year,2003-11-05,day,For Profit,http://www.arultd.com,,,,,,,,,,,,Other,,,11-50,7,IPO,2025-01-15,200000000,AUD,124687968,Grant,32000000,USD,32000000,Post-IPO Equity,74528598,USD,74528598,499216566,USD,499216566,"Export Development Canada, Canaccord Genuity Group, National Reconstruction Fund Corporation, Bell Potter","Bell Potter, Canaccord Genuity Group, Export Development Canada, National Reconstruction Fund Corporation",4,4
Granges AB,https://www.crunchbase.com/organization/granges-ab,,Manufacturing,"Stockholm, Stockholms Lan, Sweden",Granges manufactures rolled aluminium for aluminium heat exchangers.,"166,176","European Union (EU), Nordic Countries, Scandinavia",Active,1972-01-01,year,2014-10-10,day,For Profit,http://www.granges.com,,,,,1,,1,1,1,,,Manufacturing,Ernest Cassel,1,501-1000,1,IPO,2024-12-09,340439000,USD,340439000,Post-IPO Debt,,,,,,,,340439000,USD,340439000,,,,
Smart-Ship,https://www.crunchbase.com/organization/smart-ship,,"Marine Technology, Mechanical Engineering","Delft, Zuid-Holland, The Netherlands",Smart-Ship is a high-tech company based at YES.,"171,585","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2018-09-01,month,,,For Profit,https://www.smart-ship.eu/,,,,,,,,,,,,Science and Engineering,"Brent Kok, Jelle Tiemensma, Roy Kok",3,1-10,2,Seed,2020-01-28,200000,EUR,220454,Seed,200000,EUR,220454,Seed,200000,EUR,220454,200000,EUR,220454,"UNIIQ, YES!Delft",UNIIQ,1,2
KNDS,https://www.crunchbase.com/organization/knds,,"Machinery Manufacturing, Manufacturing, National Security, Physical Security, Security","Amsterdam, Noord-Holland, The Netherlands",KNDS provides and develops equipment and systems for the land defense industry.,"175,608","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2015-01-01,year,,,For Profit,https://www.knds.com/,,,,,,,,,,,,"Administrative Services, Government and Military, Manufacturing, Privacy and Security",,,5001-10000,,,,,,,,,,,,,,,,,,,,,
Informa,https://www.crunchbase.com/organization/informa-plc,,"B2B, Business Intelligence, Events, Information Services, Lead Generation, Marketing, Publishing","London, England, United Kingdom","Informa is a business intelligence, academic publishing, knowledge, and events group.","181,473","Europe, Middle East, and Africa (EMEA)",Active,1998-01-01,year,2014-05-30,day,For Profit,http://www.informa.com,11,,,,,,2,2,2,,,"Content and Publishing, Data and Analytics, Events, Information Technology, Media and Entertainment, Other, Sales and Marketing",,,10001+,,IPO,,,,,,,,,,,,,,,,,,,
Auto Trader,https://www.crunchbase.com/organization/auto-trader-uk,,"Auto Insurance, Automotive, Marketing, Marketplace","Manchester, Manchester, United Kingdom",Auto Trader is a motoring marketplace that helps people to sell old cars and buy new vehicles.,"183,069","Europe, Middle East, and Africa (EMEA)",Active,1977-01-01,year,2015-03-24,day,For Profit,http://www.autotrader.co.uk,2,,,,,,,,,,,"Commerce and Shopping, Financial Services, Sales and Marketing, Transportation",John Madejski,1,1001-5000,1,M&A,2007-03-23,,,,Private Equity,,,,Private Equity,,,,,,,Apax Partners,Apax Partners,1,1
Teletel,https://www.crunchbase.com/organization/teletel,,"Aerospace, Software","Athens, Attiki, Greece","Teletel is a leading software and hardware development company specializing in the leading edge areas of Space, Defense, Aeronautics.","184,248","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1995-01-01,year,,,For Profit,https://www.teletel.eu,,,,,,,,,,,,"Science and Engineering, Software",,,11-50,1,,2019-01-01,71429,EUR,81868,Grant,,,,,,,,71429,EUR,81868,EISMEA,,,1
Milrem Robotics,https://www.crunchbase.com/organization/milrem-robotics,,"Manufacturing, Product Design, Robotics","Tallinn, Harjumaa, Estonia",Milrem Robotics is an Estonian company specialising in the manufacture of unmanned ground vehicles.,"191,039","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2013-01-01,day,2023-02-15,day,For Profit,https://milremrobotics.com,,,,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering, Software",Kuldar Väärsi,1,101-250,,M&A,,,,,,,,,,,,,,,,,,,
Bittium,https://www.crunchbase.com/organization/bittium,,"Internet of Things, Public Safety, Security, Software, Telecommunications","Oulu, Oulu, Finland",Bittium is specialized in developing reliable and secure communications and connectivity solutions using the latest technologies.,"192,641","European Union (EU), Nordic Countries, Scandinavia",Active,1985-01-01,year,2002-06-28,day,For Profit,http://www.bittium.com,,,,,,,,,,,,"Government and Military, Hardware, Internet Services, Privacy and Security, Software",Juha Hulkko,1,501-1000,1,IPO,2022-10-26,,,,Post-IPO Equity,,,,Post-IPO Equity,,,,,,,Erkki Veikkolainen,Erkki Veikkolainen,1,1
Patria Industries,https://www.crunchbase.com/organization/patria-industries,,"Aerospace, National Security, Security, Service Industry","Helsinki, Southern Finland, Finland","Patria is a defense and technology company providing lifecycle support for land, sea, and air operations.","202,629","European Union (EU), Nordic Countries, Scandinavia",Active,1997-01-01,year,,,For Profit,https://www.patriagroup.com/fi,,,,,,,,,,,,"Government and Military, Other, Privacy and Security, Science and Engineering",,,1001-5000,,,,,,,,,,,,,,,,,,,,,
Kongsberg Defence & Aerospace,https://www.crunchbase.com/organization/kongsberg-defence-aerospace,,"Aerospace, Manufacturing, Space Travel","Kongsberg, Buskerud, Norway",Kongsberg Defence & Aerospace is a premier supplier of defense and aerospace-related systems and solutions.,"207,751","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",Active,1814-03-20,day,,,For Profit,https://www.kongsberg.com/kda/,,,,,,,2,1,1,,,"Manufacturing, Science and Engineering, Transportation",,,10001+,,,,,,,,,,,,,,,,,,,,,
CyRIC,https://www.crunchbase.com/organization/cyric,,Product Research,"Nicosia, Nicosia, Cyprus","CyRIC is developing disruptive products for the world markets and providing unique, high quality services to the industry.","208,041","European Union (EU), Europe, Middle East, and Africa (EMEA), Middle East",Active,2012-01-01,year,,,For Profit,https://www.cyric.eu,,,,,,,,,,,,"Data and Analytics, Design",Panayiotis Philimis,1,11-50,1,,2019-01-01,71429,EUR,81868,Grant,,,,,,,,71429,EUR,81868,EISMEA,,,1
CAP,https://www.crunchbase.com/organization/cap-s-a,,Mining,"Las Condes, Region Metropolitana, Chile",CAP Group is the main producer of iron ores and pellets on the American Pacific coast.,"218,052",Latin America,Active,1946-01-01,year,,,For Profit,http://www.cap.cl,,,,1,1,,3,2,2,,,Natural Resources,Juan Antonio Rios,1,5001-10000,,,,,,,,,,,,,,,,,,,,,
e-geos,https://www.crunchbase.com/organization/e-geos,,"Big Data, Information Technology, Software","Rome, Lazio, Italy",e-GEOS is a leading international player in the Earth Observation and Geo-Spatial Information business. ,"218,922","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2010-01-01,year,,,For Profit,http://www.e-geos.it,,,,,,,,,,,,"Data and Analytics, Information Technology, Software",,,251-500,,,,,,,,,,,,,,,,,,,,,
Sage,https://www.crunchbase.com/organization/sage-4135,,"Accounting, Business Development, Cloud Computing, Professional Services, Software","Atlanta, Georgia, United States","Sage provides various easy-to-use, secure, and efficient business management software and services, including accounting and payroll.","221,394","Greater Atlanta Area, East Coast, Southern US",Active,1981-01-01,year,,,For Profit,https://www.na.sage.com,,,,,,,,,,,,"Financial Services, Internet Services, Other, Professional Services, Software",,,10001+,,,,,,,,,,,,,,,,,,,,,
Kongsberg,https://www.crunchbase.com/organization/kongsberg-gruppen,,"Aerospace, Industrial Engineering, Mechanical Engineering","Kongsberg, Buskerud, Norway","Kongsberg is a technology corporation that delivers advanced and reliable solutions for the safety, security, and performance of industries.","228,570","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",Active,1814-01-01,year,1993-01-01,day,For Profit,http://www.kongsberg.com,3,,,,1,,5,1,2,,,"Manufacturing, Science and Engineering",Poul Steenstrup,1,10001+,,IPO,,,,,,,,,,,,,,,,,,,
MBDA,https://www.crunchbase.com/organization/mbda,,"Manufacturing, National Security, Security","Le Plessis-robinson, Ile-de-France, France",MBDA designs and produces missiles and missile systems.,"239,011","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2001-12-01,day,,,For Profit,http://www.mbda-systems.com/,,,,,,,3,,3,,,"Government and Military, Manufacturing, Privacy and Security",,,10001+,,,,,,,,,,,,,,,,,,,,,
DOK-ING,https://www.crunchbase.com/organization/dok-ing,,"Industrial Engineering, Manufacturing, Mechanical Engineering","Zagreb, Grad Zagreb, Croatia",DOK-ING is one of the international leaders in production of machines for unmaned landmine clearance.,"239,488","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1992-01-01,year,2026-03-04,day,For Profit,http://dok-ing.hr/,,,,,,,,,,,,"Manufacturing, Science and Engineering",Vjekoslav Majetić,1,101-250,,M&A,,,,,,,,,,,,,,,,,,,
Airbus Helicopters,https://www.crunchbase.com/organization/airbus-helicopters,,"Aerospace, Manufacturing, Product Design","Marignane, Provence-Alpes-Cote d'Azur, France",Airbus Helicopter manufactures commercial airliners and helicopters.,"243,336","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1992-01-01,year,2019-07-12,day,For Profit,http://airbushelicopters.com,,,,,,,,,,,,"Design, Manufacturing, Science and Engineering",,,10001+,,M&A,,,,,,,,,,,,,,,,,,,
STV Group,https://www.crunchbase.com/organization/stv-group-efaa,,"Machinery Manufacturing, Manufacturing, Military","Prague, Hlavni mesto Praha, Czech Republic","STV Group is a manufacturing company that develops ammunition, explosives, guns, and military equipment.","244,861","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1920-01-01,year,,,For Profit,https://www.stvgroup.cz/,,,,,,,,,,,,"Government and Military, Information Technology, Manufacturing",,,501-1000,,,,,,,,,,,,,,,,,,,,,
